group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
w2d-014_3,737.0,38.088695659,18.958694207,4.282318783,2.646879838,2.20227591,0.948755416,4.243962959,4.733333333,1.75,9.866666667,3.3333333329999997,0.891898502,0.821554263,1.766271566,5.545220039,4.439696554,1.105523483,6.853526893,78.0,7.5,0.833333333,2.309523809,9.302462636,3.75,1.8333333330000001,15.916666666000001,3.833333333,1.0,8.0,0.0,0.0,0.0,0.431585776,38.0,6.0,1.0,2.0,0.0,0.0,3.0,5.0,9.0
w2d-015_1,663.0,30.903333916,16.182867729,1.2842781109999999,2.025895824,0.21057681,0.621367521,2.450900429,0.0,3.733333333,12.066666667,7.2,0.0,0.928038145,1.308576569,4.404612123,3.979085851,0.425526273,5.932229138,81.0,0.833333333,0.0,1.366666666,9.031575958,6.533333333,4.5,23.366666666,2.933333333,0.0,15.0,0.0,0.0,0.0,0.0,18.0,11.0,0.0,3.0,0.0,0.0,1.0,1.0,15.0
w2d-015_2,1157.0,59.609011716,26.388308308,0.899145298,7.785968531,1.281403685,1.549376032,6.2301654,1.5,20.0,14.333333332,3.1666666660000002,0.522222222,3.61271855,1.918301551,8.609036529,6.533898262,2.075138269,9.681140903,140.0,3.333333333,5.333333333000001,13.766666661,23.712521579,19.666666666,9.333333333,24.499999999,9.666666666,21.0,4.0,0.0,0.0,0.22955465600000002,1.332316294,47.0,6.0,18.0,4.0,8.0,0.0,4.0,11.0,8.0
w2d-015_3,498.0,18.037822718,9.038804827,1.551735108,2.357143263,0.14354066999999998,0.671558024,2.295077138,0.5,3.0,12.0,1.8333333330000001,0.14354066999999998,0.371861473,1.674411837,2.050573261,1.663875749,0.38669751399999996,3.64453014,55.0,2.333333333,0.0,2.199999999,5.396709525,3.0,2.0,14.0,5.666666666,0.0,0.0,0.0,0.0,0.083333333,0.090909091,25.0,1.0,0.0,3.0,0.0,0.0,2.0,4.0,0.0
w2d-016_1,837.0,27.293203251,12.818352741,2.345934711,2.737785584,0.077691454,0.6614014859999999,2.194351739,0.0,1.75,10.833333333,3.666666667,0.0,0.327252791,1.627259045,4.829433863,3.34908855,1.480345313,4.66011762,76.0,2.833333333,1.0,1.45,7.243926386,1.0833333330000001,3.333333333,30.416666666,5.416666666,2.0,3.0,0.0,0.0,0.034482759,0.102201258,31.0,6.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0
w2d-016_2,603.0,17.838606971,8.206095536,1.628204869,1.613260982,0.277849462,0.212121212,0.8253273990000001,0.0,0.0,6.0,2.0,0.0,0.0,0.6714812450000001,2.614734873,1.490246172,1.1244887000000001,4.1160703089999995,47.0,3.416666667,0.25,2.819047619,5.306238361,4.083333333000001,7.583333333000001,8.75,6.333333333000001,0.0,1.0,0.0,0.0,0.0,0.171203008,12.0,5.0,0.0,1.0,1.0,0.0,4.0,6.0,1.0
w2d-016_3,629.0,22.065063018,10.357776089,1.22999558,2.258989051,0.025641026,0.440767974,1.633253328,0.0,5.5,4.75,2.083333333,0.0,0.65092408,0.78824093,3.158804867,1.874714531,1.284090339,4.26136329,60.0,0.25,2.0,3.652380951,7.280024944,6.166666666999999,6.583333333000001,19.75,8.416666666,0.0,3.0,0.0,0.0,0.0,0.364547435,25.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,3.0
w2d-017_1,1136.0,31.644813781,16.531266331,2.191877821,3.047932229,0.468202,0.31453089500000003,1.574910638,2.666666667,1.5833333330000001,5.833333333000001,4.083333333,0.255379327,0.24499231900000001,0.7599407,5.687864632,4.367982226,1.319882406,5.843776321,97.0,1.625,2.541666667,2.2,7.233804999,4.374999999,8.999999999,21.208333333,13.999999998,0.0,0.0,0.0,0.0,0.0,0.486675656,37.0,5.0,1.0,2.0,0.0,0.0,2.0,7.0,1.0
w2d-017_2,741.0,26.388416447,12.396393533,1.755621992,1.042506493,0.203787878,0.488730202,3.521896844,1.8333333330000001,1.25,22.833333333,2.5,0.32806448,0.162337662,3.031494702,3.670440806,2.747822828,0.922617979,4.780244879,81.0,4.033333333,1.75,2.333333333,8.565960116,3.783333333,3.7,16.516666666,4.816666666,0.0,1.0,0.0,0.0,0.041666667,0.22549019599999998,32.0,7.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0
w2d-017_3,457.0,14.702207995,5.956509979,2.028786632,1.5110186909999999,0.377711028,0.30753805,0.824651671,2.5,0.0,3.0,0.5,0.257763976,0.0,0.566887695,2.095531183,1.2870138020000002,0.808517381,2.333073276,47.0,5.926190476,0.0,1.016666667,4.568748622,1.5,1.95,11.569047619,3.152380953,1.0,1.0,0.0,0.0,0.0,0.043478261,15.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
