group,start,end
s1a,2,102
s1b,103,187
s2a,188,406
s2b,407,491
w1a,492,539
w1b,540,716
w2a,717,758
w2b,759,836
w2c,837,923
w2d,924,961
w2e,962,1003
w2f,1004,1023
