group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
s2a-042_2,96.0,4.271069831,1.893188855,0.166666667,1.393253354,0.125,0.142156862,0.896865325,0.333333333,2.3333333339999998,1.9999999990000001,1.9999999990000001,0.117647059,0.400197798,0.379020468,0.667763158,0.667763158,0.0,0.885147919,17.0,0.5,0.0,0.2,1.543451152,0.0,0.0,0.666666667,0.583333333,0,0,0.0,0,0.0625,0.25,6.0,0,1.0,0,0.0,1,0,0,0.0
s2a-042_3,1325.0,43.382327911,12.83636758,0.861002653,2.735700026,0.691369048,0.919706633,13.553868967,14.518290042,26.263852812,27.397619047,6.661904762,2.9952643009999997,4.677480651,5.194002805,5.847718501,3.78790424,2.059814261,4.9120267029999996,238.0,5.35515873,6.535714285,5.050490196,23.837239181,13.619047619,0.0,11.555952382,15.631349207,3,1,0.0,0,0.8081285579999999,1.236334407,45.0,3,16.0,9,5.0,0,1,10,3.0
s2a-043_1,2000.0,62.783519397,21.202601432,1.2810733989999998,4.028441101,0.907641598,2.008450714,22.398710558,36.947619047,50.749999998,20.866666664,12.616666665,6.142901988,10.17946377,4.126229659,4.743540746,2.468130078,2.275410666,9.474880238,338.0,23.766666667,6.983333332,5.340476192,35.556303831,19.183333333,1.9,31.158333331,25.083333332,6,4,0.16025641000000002,0,0.28903457899999996,0.665923056,59.0,10,23.0,12,9.0,1,1,15,6.0
s2a-044_1,1508.0,40.280999502,18.866713669,0.517238898,6.624860699,0.494786505,0.735603402,5.476684638,19.083333332,23.583333333,8.5,6.749999999,1.886177692,2.517934452,0.718459936,4.405770737,3.362339068,1.04343167,7.697868588,170.0,1.116666667,12.249999999,1.8285714290000001,16.491276207,15.916666666,15.416666665000001,21.333333332000002,21.399999999,2,2,0.0,1,0.027027027,0.277567884,33.0,5,9.0,11,4.0,0,1,11,0.0
s2a-044_2,379.0,7.717407159,4.018906242,0.090909091,1.019999834,0.0,0.146636645,1.705999192,5.916666667,5.833333332,1.6666666660000002,0.666666666,0.706668879,0.6880883369999999,0.21722488,0.932194102,0.752778552,0.17941555,2.250403131,36.0,0.0,0.666666666,1.283333333,2.6753977239999998,1.0,0.0,10.333333332999999,6.333333333000001,0,0,0.0,0,0.071428571,0.338482135,1.0,0,7.0,4,0.0,1,0,5,0.0
s2a-045_1,1947.0,40.929350891,16.898018034,2.415980934,4.835590435,0.468124511,1.625730744,10.554392709,42.204761903,14.119047617,11.133333332,7.766666666,5.839355689,1.891325757,1.906061652,4.120223186,2.842363998,1.27785919,10.920354645,223.0,4.949999998,3.116666666,7.448412698,17.427788667,13.666666665000001,4.866666666,24.833333333,23.599999996,10,3,0.0,0,0.069295102,1.074734208,34.0,11,21.0,14,2.0,0,1,4,1.0
s2a-046_1,1815.0,48.867998346,21.774769132,1.556898219,7.344383672,0.946929867,1.094681946,9.078755046,38.516666668,12.999999999,9.783333332,5.533333333,5.156814398,1.12119211,1.878508071,5.556064197,4.578928137,0.977136059,11.898947587,184.0,4.5833333320000005,12.2,4.860822511,19.911301281,28.766666666,9.333333332,37.899999998,13.116666666,4,2,0.0,0,0.25955988399999996,1.769165197,40.0,2,21.0,20,5.0,0,2,6,1.0
s2a-047_1,1923.0,46.123386835,18.752399437,1.442822872,3.946560409,0.33776680800000003,1.327579211,11.351538267,29.361904763000002,11.066666666,23.695238095,11.845238096,4.211609716,2.873116524,3.179802523,4.713146911,3.653865944,1.059280969,8.682514331,246.0,27.576190477,4.249999999,4.387301587,21.215017618,26.159523809,8.792857142,36.819047617,29.542857143,0,2,0.442822872,0,0.116666666,0.871345264,32.0,8,15.0,33,2.0,0,0,5,4.0
s2a-048_1,1863.0,45.398995323,19.047088367,1.526216401,4.328756815,0.421859205,1.097155279,8.976071804,33.166666666,10.499999999,18.166666666,5.966666666,4.441081115,1.785725227,2.136901641,5.63288547,4.480957973,1.1519274990000001,8.570975372,234.0,11.716666667,6.0666666650000005,3.953571428,19.192805086,11.8,6.766666667,25.883333331,27.38333333,1,2,0.510912699,1,0.195424857,1.219781066,30.0,5,19.0,22,2.0,1,0,10,2.0
s2a-049_1,1959.0,43.164699351,15.880843739,0.227631579,4.10236123,0.30974025899999996,0.765467031,11.713701953,36.813095238,16.277380952,21.852777776,9.683333332,4.872777574,2.825736994,3.226316096,4.512832433,3.438369631,1.074462801,8.795423261,263.0,3.483333334,1.2,5.594047618,22.543391591,16.709523809,7.066666666,36.602380951,29.06190476,1,4,0.05,0,0.207393484,2.300877072,22.0,4,23.0,32,2.0,1,0,12,3.0
s2a-050_1,1998.0,61.39319745,22.527496702,1.1069264509999999,6.442440223,0.182186235,1.289026864,18.155534608,48.778571431,10.899999999,39.877380953,9.758333331,8.514872386,1.745514282,6.658196097,5.593024648,3.695793345,1.897231301,10.064268433,308.0,15.416666666000001,1.8095238089999999,13.577092349,32.165749658,14.292857142,5.199999998,38.411904761,28.076190473,4,7,0.452759784,0,0.305288175,1.456630226,48.0,4,24.0,13,4.0,1,2,16,12.0
s2a-051_1,2025.0,85.817641863,33.656497278,6.03211271,6.617854839,0.374542124,0.789653596,20.746183009,21.154761903,56.535714286,29.24285714,22.159523808,3.6664697889999998,9.598570384,4.890616039,9.800711753,8.01828725,1.782424502,11.769687269,310.0,2.866666666,5.25,11.71349206,36.328320134,11.116666666,6.816666666,23.566666664,29.783333331,1,7,0.043478261,0,0.753267973,0.777478209,92.0,7,27.0,6,4.0,5,3,19,6.0
s2a-052_1,2027.0,46.1513601,16.345843065,1.851359417,3.374350324,1.232324515,1.560794092,11.18697684,3.5,53.192857143,11.639285713,11.639285713,0.9371473269999999,7.545910941,1.929991574,7.1994607,4.462085109,2.73737559,7.939834497,266.0,1.7,9.157575757,10.762576313,20.75469692,16.142857143,1.788888889,26.617316019,23.995238094,0,2,0.0,0,1.6508991849999999,1.581801099,21.0,1,49.0,4,0.0,2,1,14,4.0
s2a-053_1,2103.0,58.608347316,20.949940577,1.317612888,5.370719825,1.091217287,1.6580884759999999,18.231750417,42.537301585,30.998412699,23.899206348,23.732539682,7.352891932,5.172740664,5.434159603,7.685073336,4.112016956,3.57305638,7.126232848,320.0,3.65,13.774999999,7.099639251,28.655720516,14.23452381,4.277777777,32.621031744999996,25.686507934,0,3,0.0,0,4.863390349,1.867660892,56.0,2,39.0,10,1.0,1,0,14,4.0
s2a-054_1,593.0,14.694619022,5.742013707,0.681224563,1.387481837,0.099025974,0.0,4.03327289,1.733333333,12.15,10.333333333,6.783333333,0.228521943,1.588398333,1.523871201,1.314734267,0.483495671,0.831238596,2.777684496,71.0,0.5,1.5833333330000001,2.483766233,6.956646482,4.033333333,3.333333333,7.999999999,7.65,0,0,0.0,0,0.05625,0.253089897,18.0,3,6.0,2,1.0,1,0,3,0.0
s2a-054_2,660.0,10.884086329,4.267493277,0.382079105,0.662682301,0.532282116,0.457123991,2.591577291,2.983333333,6.309523808,7.975396825,7.225396825,0.35482299900000003,1.125636512,1.02750196,0.95924347,0.71858008,0.240663391,2.321906878,95.0,0.125,0.0,1.924242424,5.2752704779999995,1.825,3.277380952,5.035714285,7.58452381,0,1,0.0,0,0.016949153,0.581417194,3.0,3,12.0,0,2.0,0,0,2,2.0
s2a-054_3,690.0,29.173087125,8.61015631,0.975992063,0.614520202,0.0,0.667863509,8.877828933,14.099999999,21.750000001,6.0,5.333333333,2.673853442,4.749768596,1.037368764,3.3413738139999998,0.70501253,2.636361284,3.1938552579999997,111.0,3.5,3.166666667,1.854761905,16.245564938,13.983333333000001,3.0,3.45,6.566666666,0,3,0.0,0,0.642135643,0.24766296499999998,30.0,1,11.0,2,3.0,2,3,7,5.0
s2a-055_1,1138.0,38.47231417,14.732155299,2.789385614,3.4252446500000002,0.497644928,0.73651944,8.315203954,30.094047618,13.716666665,6.295238096,3.95,4.629824231,2.136902341,1.131590617,4.661982602,2.4155035480000002,2.246479053,5.996369357,148.0,4.933333333,10.566666666,3.524675324,16.288790656,6.9,0.75,11.166666665000001,12.199999999,0,2,0.271416083,1,0.754320153,1.240821221,42.0,1,20.0,3,1.0,6,0,3,3.0
s2a-055_2,876.0,35.970762312,12.068153157,3.544730849,2.117411635,1.173941195,1.660496285,10.167655988,5.558333333,22.666666666,15.125,13.833333333,0.938778093,5.177620138,3.7519074420000003,4.753452374,2.319454929,2.433997445,4.901205406,139.0,0.166666667,2.0,6.184523809,15.604425937,5.209523809,2.4,7.81111111,8.457936508,0,4,0.058823529,0,0.381645167,0.133481647,45.0,2,12.0,1,3.0,1,0,3,5.0
s2a-056_1,2040.0,58.045764127,24.857682660000002,0.141056911,8.843457307,1.753254828,0.721930139,11.253641223,10.866666666,37.199999999,27.366666665,23.533333332,1.686305498,5.219415796,3.308444342,6.456649802,3.95505582,2.501593983,9.114924853,281.0,1.7833333329999999,17.90952381,8.579761905,26.590374763,21.933333334,6.833333333000001,23.307575756,24.262770561,0,6,0.0,0,1.045066922,4.091481237,33.0,1,64.0,6,3.0,1,0,15,3.0
s2a-057_1,1996.0,58.190941491,18.771498049,1.326699691,2.990760679,0.16724941599999998,0.728228155,16.219616474,58.633333334,27.183333333,18.549999998,16.349999999,8.401804052,3.549473576,3.429061861,4.118337973,1.369142523,2.749195451,8.262072809,328.0,5.226190474,8.059523809,12.149190348,33.974405782,17.559956707,1.642857142,24.350865797,22.917857143,1,4,0.0,0,1.72267316,2.155729896,48.0,9,41.0,9,7.0,0,2,9,4.0
s2a-058_1,2030.0,57.161529094,20.813519993,0.349523808,2.899535724,0.37680375099999996,0.969838932,16.716560497,36.916666666,36.533333334,27.7,20.9,6.02455174,5.994870432,3.916453319,6.678407549,4.411368496,2.267039056,7.772541795,274.0,9.133333333,14.133333334,5.715079364,29.320077737,28.033333334,7.9,31.849999999,29.116666664,1,13,0.111428571,0,1.867669643,2.645615014,40.0,5,23.0,19,6.0,1,3,16,13.0
s2a-059_1,2037.0,82.087265597,39.998588385,0.798817368,7.810075146,2.512469811,3.639808065,19.410838336,13.416666666,54.049999998,18.88333333,17.266666664,2.097029607,11.441519983,3.639664888,6.661287849,3.823592723,2.8376951249999998,11.014984576,312.0,1.5,5.166666666,11.085714287,34.628572002,15.116666666,4.441666666,19.466666663,27.249999998,3,6,0.0,0,2.060762316,1.0719243170000001,84.0,2,38.0,9,7.0,0,0,9,9.0
s2a-060_1,1959.0,86.469909329,23.905742686,1.1666666669999999,4.76186015,0.063054188,2.780369517,28.072268825000002,32.666666666,63.091666666,17.099999999,10.374999999,7.646870099,14.223662494,3.673318804,12.047487044,3.27984767,8.767639372,9.524163494,362.0,15.141666665,2.333333333,12.524837662,49.350012932,13.45,0.375,21.534523806,20.701190476,2,20,0.0,0,1.906585873,2.4868667479999997,99.0,2,41.0,4,6.0,2,14,21,24.0
s2a-061_1,2047.0,39.405383406,19.158364978999998,2.444679152,5.222988696,0.724274515,1.463957633,7.122351352,19.652380952999998,1.783333332,27.952380949000002,11.499999998,2.975462068,0.5493778619999999,3.519879846,2.865880411,2.032346233,0.833534175,11.555715569,214.0,41.952380953,0.916666667,5.682178931,14.936458864,11.326190478000001,7.876190475,16.752380951,31.352380952,0,1,0.073260074,0,0.18175254600000001,0.870205537,44.0,13,16.0,4,0.0,0,0,5,3.0
s2a-062_1,2037.0,35.201244453,18.306925405,1.156789181,4.643799108,0.160534592,3.6485100459999997,7.818416113,13.588888887,0.2,16.081746033,8.961111112,2.307031614,2.733512868,2.410189812,2.529882355,2.036030992,0.493851364,10.589651726,201.0,18.886111109,1.226190476,5.019047619,13.207647512,11.348412698,5.483333332,30.082936508,24.350793651,4,0,0.154317421,0,0.176548913,0.517372218,45.0,8,3.0,10,1.0,0,0,6,1.0
s2a-063_1,2035.0,32.336211672,15.657667804,1.240688728,3.71570555,0.102324646,2.8043322,7.519696821,6.233333333,0.166666667,29.949999999,8.466666666,1.215101959,0.711448439,5.266975084,1.911786046,1.707743131,0.20404291400000002,7.85616719,225.0,25.770512821,1.076923077,5.415674603,13.526069086,8.963034187,9.92136752,36.855982904,26.818803418,1,0,0.29489568899999996,0,0.475716247,0.30652842199999997,19.0,5,9.0,30,2.0,0,0,3,2.0
s2a-064_1,2011.0,40.452775298,20.933597482,0.771105265,3.731649006,0.925090693,1.305774623,5.020165908,18.011904762,1.3333333330000001,25.952380953,13.083333333,2.203241698,0.644280272,2.055257509,4.333327348,4.243698751,0.0896286,10.990955174,170.0,8.999999998,2.476190476,4.759704185,14.414745197,19.949999999,13.449999998,32.49285714,27.185714286,2,0,0.20696316199999998,0,0.477265103,0.250117925,39.0,9,8.0,8,3.0,0,0,5,3.0
s2a-065_1,2041.0,33.643098927,15.916397185,2.2996477939999997,3.3961333099999997,0.257602169,2.072584305,6.072158257,13.111904762,1.783333333,13.026190475,8.626190475,2.87083463,0.747399238,1.871481295,1.637776827,1.450239901,0.187536924,8.395900967,196.0,33.20952381,1.366666667,2.13452381,13.789277119,13.65,11.816666666,35.102380951,18.192857143,0,0,0.705400832,0,0.074066559,1.4472917109999999,42.0,7,16.0,2,0.0,0,2,3,1.0
s2a-066_1,1990.0,37.06397528,15.826236913,1.694168064,6.074431991,0.236914927,2.249392636,7.8884306319999995,9.759523808,2.333333333,29.673809524,7.802380952,1.587039108,1.22071543,4.507189561,2.793374514,1.764192404,1.029182113,9.689629807,229.0,33.927380953,0.0,3.333044733,16.750195793,10.261904761,15.466666665,19.278571427,24.716666664,0,1,0.36699034300000005,0,0.105555556,0.962783471,46.0,3,9.0,13,0.0,1,3,6,2.0
s2a-067_1,2012.0,29.185216625,15.584536061,1.106215691,4.796411038,0.115137507,2.262703962,4.089154314,8.133333332,0.333333333,8.666666665000001,5.433333332,2.425385577,0.454338816,0.916265855,1.806012618,1.352033316,0.453979303,10.584530255,157.0,16.416666666,1.8333333330000001,5.333170996,10.688452247,9.61111111,14.805555555,34.116666667,23.616666665,2,1,0.0,0,0.041958042,0.605776321,19.0,7,12.0,18,0.0,0,0,5,1.0
