group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
w2b-036_2,684,20.2148643490937,9.76004651636011,1.31467088334302,3.04823186906253,0.513423957446728,0.358823529411765,1.10235908592686,2,0,4.5,0.75,0.087121212121212,0.2,0.575490196078431,2.60674850971257,1.89351618648025,0.713232323232323,4.88861552427273,64,6.28333333333333,1.9,1.45,6.53339843967801,4.91666666666667,6.15,13.6666666666667,6.23333333333333,2,0,0.177460084718149,0,0.490840518437143,0.171918767507003,22,6,2,3,1,0,1,2,0
w2b-036_3,954,33.5272492151751,15.1309378658482,2.03636115694939,2.95695901815837,0.518666932482722,0.888165482891649,3.19696791085489,1,13.0833333333333,5.66666666666667,3.66666666666667,0.05,1.70273995676919,1.17641186213168,5.2537691835662,4.392361770843,0.861407412723202,5.3606684609118,96,3.91666666666667,1,3.07619047619048,11.1061810088114,10.4166666666667,4.66666666666667,18.75,7.5,1,1,0,0,0.131313131313131,0.536594326725906,31,4,10,2,0,0,0,3,2
w2b-036_4,89,2.03302611367128,1.24009216589862,0.064516129032258,0.194162826420891,0.032258064516129,0.0809523809523809,0.0809523809523809,0,0,0,0,0,0,0.0809523809523809,0.436405529953917,0.35652841781874,0.0798771121351766,0.354992319508448,4,0,0,0,0.292012288786482,1.5,0,2.5,1,1,0,0,0,0.1,0,2,1,0,0,0,0,0,0,0
w2b-037_1,584,18.5519088974215,8.67448969596292,2.16640461822117,1.76274057977526,0.963125104701381,0.15989010989011,0.939710677690217,0,0,11,2.33333333333333,0,0,0.939710677690217,1.7511704965609,1.66081928430566,0.090351212255237,3.88168791984047,57,1.5,6.5,2.03333333333333,5.95984408667652,4.33333333333333,3.5,8.5,4.25,1,0,0.136724386724387,0,0.0285714285714285,0.350534188034188,18,8,4,0,1,0,1,1,0
w2b-037_2,948,28.4942971370436,13.0309188819333,1.62744704369704,3.19900008910499,1.24535092856127,0.0703703703703703,1.49602484429715,1.5,0.75,12.4166666666667,6.83333333333333,0.123333333333333,0.107142857142857,1.09725076813177,3.64645988641491,2.49765701522848,1.14880287118644,4.39094851088227,100,3.11666666666667,6.11666666666667,2.96349206349206,10.1894713249984,19.5,1.33333333333333,15.65,7.86666666666667,0,1,0.102678571428571,0,0,0.136363636363636,23,7,8,2,0,0,7,9,1
w2b-037_3,249,7.22983776844071,4.393779178338,0.414583333333333,0.6562441643324,0.363888888888889,0.0868055555555555,0.19562908496732,1,0,0.5,0.5,0.0588235294117647,0,0.111805555555555,0.779942810457516,0.779942810457516,0,1.82953431372549,20,0,2.33333333333333,0.325,1.64153244631186,3,0.25,5.08333333333333,1.25,0,1,0,0,0,0,7,2,0,0,0,0,1,1,1
w2b-037_4,124,6.71867250396662,2.180682063035,0.0769230769230769,0,0.25,0.251680672268908,0.987269593151946,0,3.33333333333333,1.16666666666667,1.16666666666667,0,0.615591271473624,0.203846153846154,2.20125560713796,0.904552310434663,1.2967032967033,1.32300934359758,15,0.333333333333333,0,0,2.25981175687058,1.33333333333333,0,3.33333333333333,0,1,2,0,0,0,0,4,1,2,1,0,1,1,1,2
w2b-037_5,131,3.12694058814748,1.63712245608797,0.202020202020202,0.236502960640892,0.132575757575758,0.125391849529781,0.368599791013584,0,0,2.83333333333333,2.83333333333333,0,0,0.334117032392894,0.565749863163656,0.524083196496989,0.0416666666666666,0.653561476837339,11,0.333333333333333,0,0,0.722048066875653,0.333333333333333,1.33333333333333,2.33333333333333,2,0,0,0,0,0.125,0,5,0,0,0,1,0,0,0,0
w2b-038_1,2022,67.1711110111592,32.8810712107958,5.8321137950623,9.24344649976034,2.77141052665233,0.937506669918258,4.55723152780834,3.16666666666667,21.5,13.1666666666667,7.5,0.478028404344194,1.99713083875488,1.45569082303369,8.80297833685114,7.26561402798022,1.53736430887092,11.1133483676474,185,13.8666666666667,7.53333333333333,7.2968253968254,19.65494766845,11.7833333333333,11.0833333333333,57.2,23.2666666666667,1,1,0.153518907563025,0,0.280972222222222,0.493029700808936,73,11,9,7,0,0,4,9,1
w2b-039_1,559,17.6649201021346,8.88300131365605,0.955929487179487,3.70496452791884,0.325731487326512,0.0761494252873562,0.69471811713191,0,0,5,2.5,0,0,0.440749863163656,2.10886897861075,1.87308302543349,0.235785953177257,2.57319912781179,45,1,2.66666666666667,2.33333333333333,5.71712032268826,13.6666666666667,6.58333333333333,15.4166666666667,4.75,0,0,0.0256410256410256,0,0,0.301044277360067,20,3,1,2,0,0,1,2,0
w2b-039_2,458,13.5552060460743,6.81231631456156,0.987179487179487,2.45872745149528,0.459784453592503,0.181453634085213,0.612708241191213,0,1.33333333333333,3.5,3.5,0,0.300751879699248,0.311956361491965,2.02623996001211,2.07887153895948,-0.0526315789473684,3.11346732606207,37,1.5,1.5,1.53333333333333,3.72947028432109,4.66666666666667,0.5,11.3333333333333,5,0,0,0,0,0,0.0285714285714285,15,3,3,1,0,0,1,1,0
w2b-039_3,700,16.8176700153323,9.14547990016618,0.91091941926444,1.86019349654673,0.152698412698413,0.408231903469507,1.05199028025619,0.5,0,7.5,0.5,0.0666666666666666,0,0.985323613589519,1.79318733583873,1.83048910865944,-0.0373017728207069,3.09800718749099,61,14.25,1.41666666666667,1,4.96808336006299,6.58333333333333,5,13.8333333333333,7.91666666666667,0,0,0.123061881757534,0,0.0588235294117647,0.16025641025641,19,4,2,1,0,0,3,3,0
w2b-039_4,350,11.5341123571777,5.51535585213048,1.54688258364729,0.654633754730765,0.306705774097078,0.325799200799201,1.14497365661159,1,0.5,5.83333333333333,5.83333333333333,0.0625,0.0476190476190476,1.00037185037185,2.001799976994,1.85348483187578,0.148315145118214,1.8966410249052,31,0,0.333333333333333,1.33333333333333,2.4700739444059,2.5,0.5,6.5,1.66666666666667,1,0,0,0,0.166666666666667,0.367816091954023,14,4,1,1,1,0,0,0,0
