nn_W;np_W;nominal_W;neoclass_W;poss_pronoun_W;pronoun_all_W;p1_perspron_P;p2_perspron_P;p3_perspron_P;it_P;pospers1_W;pospers2_W;pospers3_W;adj_W;atadj_W;predadj_W;prep_W;past_tense_F;will_F;modal_verb_V;verb_W;infinitive_F;passive_F;coordination_F;subordination_F;interrogative_S;imperative_S;title_W;salutation_S;place_adv_W;time_adv_W;prep_initial_S;adv_initial_S;text_initial_S;wh_initial_S;disc_initial_S;nonfin_initial_S;subord_initial_S;verb_initial_S
43.071.920;7.997.621;2.316.153;0.000000;1.765.756;51.505.281;48.909.524;71.811.905;46.333.333;;12.892.195;25.909.977;10.942.268;14.966.807;6.143.226;8.823.581;12.492.694;13.400.000;6.866.667;12.200.108;60.449.250;;0.000000;;;1;10;0.000000;0;0.973849;4.144.495;8;27.000.000;19;5.000.000;43;9;18;18.000.000
34.578.573;5.849.463;6.265.490;0.047619;5.043.000;66.931.663;55.673.810;81.961.905;55.738.095;22.202.381;15.998.232;31.690.615;15.221.871;12.410.744;5.742.987;6.667.757;17.297.682;32.769.048;5.666.667;11.777.381;76.348.892;;2.666.667;;;13;15;0.000000;0;1.123.810;3.502.543;6;32.000.000;18;22.000.000;35;9;18;15.000.000
40.038.910;6.533.859;2.233.965;0.346465;5.376.732;54.436.835;54.983.333;56.166.667;67.016.667;23.500.000;14.136.283;17.169.528;18.191.937;20.576.904;9.064.410;11.512.494;14.736.596;29.500.000;11.166.667;8.500.000;70.299.932;;5.833.333;;;6;25;0.000000;0;2.494.913;3.370.395;12;33.000.000;8;18.000.000;40;22;36;27.000.000
45.177.041;11.530.603;4.825.531;0.090909;4.693.651;44.428.050;44.083.333;45.450.000;62.383.333;18.916.667;11.128.470;14.192.862;16.903.036;12.720.004;5.978.449;6.741.556;15.122.962;38.500.000;4.833.333;8.116.667;62.595.040;;0.500000;;;6;13;1.467.857;0;1.900.372;8.576.474;14;65.000.000;12;11.000.000;63;16;29;8.000.000
26.797.534;6.794.737;7.110.776;1.372.960;1.202.981;41.891.540;54.288.889;36.094.444;54.688.889;13.422.222;12.055.126;17.223.595;11.249.224;5.210.892;3.493.524;1.717.368;10.678.010;27.916.667;5.033.333;13.366.270;43.898.190;;1.333.333;;;1;6;0.000000;0;0.100000;3.006.493;7;34.000.000;10;4.000.000;19;5;31;10.000.000
33.337.929;10.308.657;4.514.776;0.383333;3.354.497;49.880.126;81.519.048;57.652.381;36.952.381;18.166.667;18.895.996;18.306.260;9.266.092;8.952.362;3.751.857;5.200.505;12.945.806;27.616.667;9.583.333;10.409.524;67.939.567;;2.500.000;;;2;8;0.000000;0;2.780.947;5.051.546;5;41.000.000;19;15.000.000;38;12;32;16.000.000
57.316.777;6.125.794;5.320.463;0.000000;2.624.939;44.183.233;40.400.000;80.650.000;28.783.333;21.700.000;9.521.692;26.423.671;6.112.981;13.115.400;3.246.285;9.869.115;18.213.008;9.333.333;9.500.000;13.716.667;55.042.927;;2.500.000;;;6;14;0.611111;0;1.646.461;6.758.392;12;57.000.000;20;17.000.000;42;5;18;21.000.000
57.249.247;7.554.142;12.788.533;0.924405;5.122.076;45.943.984;56.166.667;57.750.000;45.416.667;23.833.333;14.983.495;17.203.109;12.100.823;14.254.033;6.297.287;7.956.746;16.102.310;33.700.000;5.083.333;12.785.714;73.069.647;;4.166.667;;;9;12;0.000000;1;2.037.302;5.491.875;7;41.000.000;9;19.000.000;26;13;23;26.000.000
33.047.780;0.462933;1.919.509;0.772222;2.902.683;63.140.696;61.764.286;83.150.000;42.852.381;32.602.381;15.090.107;36.301.601;10.008.667;15.050.033;6.990.444;8.059.589;10.360.764;39.100.000;5.833.333;6.033.333;57.092.150;;5.533.333;;;4;11;0.000000;0;0.122258;5.092.872;4;35.000.000;22;7.000.000;73;8;17;12.000.000
30.668.514;7.667.355;6.379.938;0.000000;2.229.784;58.601.352;64.433.333;79.316.667;47.100.000;24.100.000;16.506.007;24.715.706;13.372.128;12.141.573;5.134.816;7.006.757;10.324.342;18.750.000;9.583.333;11.650.000;73.204.631;;0.500000;;;7;19;0.233333;1;1.435.548;5.269.944;2;37.000.000;20;19.000.000;36;6;21;21.000.000
35.347.167;8.504.855;6.201.535;0.000000;4.482.753;61.530.130;78.500.000;71.183.333;49.483.333;38.250.000;21.267.598;24.698.367;12.203.010;17.147.252;3.757.948;13.389.304;14.857.324;43.233.333;5.083.333;11.092.857;81.458.785;;3.000.000;;;5;17;0.333333;0;2.880.433;5.644.297;9;30.000.000;17;19.000.000;43;19;29;23.000.000
30.212.504;2.235.190;4.147.729;0.398413;3.280.569;51.387.212;30.608.333;79.960.714;61.453.571;20.116.667;10.035.753;24.054.083;14.891.688;9.910.748;4.430.405;5.480.342;9.704.215;45.908.333;3.283.333;10.392.857;58.981.716;;0.333333;;;4;3;0.000000;1;0.841856;6.629.694;5;34.000.000;19;10.000.000;24;4;17;9.000.000
57.744.044;3.810.965;8.745.308;0.000000;5.198.051;50.112.433;41.433.333;61.300.000;56.666.667;;10.696.394;22.827.100;14.785.548;13.065.345;7.088.175;5.977.170;13.324.907;16.666.667;10.666.667;11.483.333;58.874.525;;1.750.000;;;7;16;0.000000;0;3.473.690;6.044.090;11;52.000.000;9;14.000.000;36;7;22;16.000.000
29.223.603;9.764.926;6.961.172;0.445513;3.098.329;41.090.725;60.850.000;23.483.333;56.683.333;22.016.667;13.869.491;12.462.603;13.431.203;7.249.123;3.310.834;3.938.289;9.692.686;35.083.333;19.416.667;10.111.905;53.303.061;19.250.000;2.250.000;;26.916.667;6;6;0.322378;0;1.358.646;5.114.185;3;24.000.000;24;12.000.000;21;3;17;16.000.000
61.483.476;10.724.493;4.261.941;0.177778;1.073.088;70.378.137;28.083.333;82.333.333;63.833.333;35.416.667;7.841.144;42.519.313;15.344.816;19.454.368;13.181.980;6.272.388;13.086.954;52.833.333;2.000.000;8.983.333;55.909.190;;3.666.667;;;13;7;0.000000;0;0.521703;5.112.147;10;46.000.000;26;21.000.000;60;14;26;8.000.000
42.096.627;8.353.038;7.443.657;1.280.891;3.629.458;43.739.918;59.850.000;71.500.000;39.533.333;22.416.667;13.236.416;19.559.300;9.402.242;9.092.153;5.193.135;3.899.017;14.943.223;33.416.667;16.833.333;17.450.000;58.900.781;19.000.000;10.333.333;;;16;8;0.000000;0;1.150.649;4.704.600;9;50.000.000;9;29.000.000;59;7;18;19.000.000
20.042.895;4.719.310;2.405.516;0.000000;1.692.809;55.355.113;59.709.632;60.240.584;49.299.784;16.625.866;14.432.204;28.747.177;10.551.527;5.491.676;1.868.196;3.623.479;8.752.197;23.516.667;7.933.333;10.146.429;53.311.973;;1.125.000;;30.225.000;2;7;0.000000;0;1.356.575;5.483.946;2;25.000.000;19;5.000.000;26;6;21;7.000.000
32.321.393;3.905.556;4.283.038;0.055556;2.250.490;69.747.886;63.552.381;75.311.905;50.792.857;42.083.333;17.569.870;35.571.162;14.222.348;14.220.005;5.368.529;8.851.476;10.803.719;17.933.333;3.000.000;5.017.857;61.459.520;13.633.333;0.000000;;;1;7;0.000000;0;0.502632;2.005.346;12;31.000.000;23;2.000.000;62;7;16;10.000.000
24.569.397;1.122.537;6.552.182;0.164536;0.815705;44.489.015;48.345.238;47.833.333;44.083.333;24.250.000;8.912.219;24.963.721;8.714.638;9.684.251;3.989.105;5.695.145;9.289.914;24.147.619;7.035.714;9.754.834;48.956.376;;4.535.714;;;3;6;0.000000;0;0.386370;1.749.420;6;23.000.000;35;2.000.000;11;6;19;8.000.000
42.097.315;17.920.570;3.970.505;0.490573;2.349.979;48.416.212;43.783.333;53.116.667;68.983.333;;10.546.841;15.661.767;18.193.227;15.678.848;5.749.914;9.928.934;12.252.587;30.333.333;4.500.000;9.898.413;70.599.616;;2.500.000;;;13;17;0.000000;0;1.601.190;4.614.874;4;30.000.000;18;18.000.000;48;11;17;31.000.000
22.997.905;4.861.548;2.732.318;1.286.447;0.838034;57.901.749;59.000.974;66.323.593;50.634.524;10.100.000;15.030.063;26.413.511;13.549.659;12.937.336;3.688.133;9.249.203;11.384.073;60.517.857;1.950.000;7.725.036;55.818.076;8.233.333;0.500000;;;10;7;0.000000;0;1.552.926;4.333.783;2;38.000.000;22;15.000.000;17;9;22;2.000.000
29.745.399;11.337.858;3.585.187;0.269669;2.530.721;55.125.598;34.900.000;77.988.095;47.269.048;25.792.857;9.885.700;30.581.314;12.472.697;12.538.271;4.850.327;7.687.944;11.544.801;11.416.667;20.616.667;19.547.619;54.570.999;17.333.333;8.150.000;;;5;3;0.000000;0;0.732576;3.538.910;2;42.000.000;17;12.000.000;43;5;21;12.000.000
37.910.316;12.811.025;7.135.108;3.285.668;1.843.055;40.918.856;51.083.333;35.300.000;59.650.000;41.316.667;10.728.747;11.697.395;14.003.027;16.902.490;6.708.222;10.194.268;15.536.035;23.366.667;2.000.000;6.031.494;58.799.119;;2.500.000;;;6;7;0.076923;0;1.206.443;2.981.829;11;30.000.000;21;14.000.000;36;2;11;18.000.000
24.939.104;5.571.354;4.970.753;0.000000;1.882.192;45.080.186;52.198.810;43.121.429;58.770.238;21.902.381;12.107.776;16.225.749;13.558.343;11.839.341;5.475.664;6.363.677;12.655.183;69.452.381;1.142.857;4.917.100;48.374.262;10.167.857;4.325.000;;12.270.238;3;8;0.000000;0;2.252.287;2.731.255;6;26.000.000;26;7.000.000;33;10;12;5.000.000
48.058.447;12.666.234;6.112.536;3.235.714;3.834.141;57.626.112;45.650.000;88.450.000;42.066.667;22.000.000;12.316.957;33.356.200;9.992.439;19.192.388;7.446.003;11.746.385;12.336.663;12.500.000;5.000.000;4.233.333;65.701.145;;4.250.000;;;16;16;0.166667;0;1.297.566;11.787.065;2;49.000.000;10;23.000.000;50;10;24;18.000.000
28.442.868;5.517.655;4.913.346;0.445128;1.279.137;53.092.586;63.662.698;53.038.889;53.579.365;28.142.857;18.017.055;20.456.822;12.474.963;10.888.440;4.925.266;5.963.174;10.652.757;60.527.381;10.800.000;5.163.492;50.687.330;;4.783.333;;30.777.381;4;8;0.000000;0;1.635.940;2.888.398;4;34.000.000;11;8.000.000;29;5;12;9.000.000
42.281.457;7.205.782;6.732.044;0.475000;2.919.908;40.605.770;48.459.524;46.050.000;72.561.905;36.116.667;11.315.307;12.359.431;15.611.422;15.640.122;6.919.678;8.720.444;13.904.036;33.083.333;4.450.000;12.166.667;60.571.258;15.583.333;4.666.667;;;6;10;0.000000;0;1.684.124;2.101.701;5;41.000.000;21;12.000.000;35;8;20;15.000.000
24.595.520;11.562.334;1.691.223;0.680556;1.268.576;29.878.986;71.663.095;36.845.238;27.166.667;21.583.333;13.376.299;9.915.086;5.490.796;9.406.005;3.687.083;5.718.921;13.406.032;11.416.667;11.666.667;9.019.048;48.067.762;;1.166.667;;44.000.000;6;13;0.000000;0;0.723185;2.267.798;9;39.000.000;16;12.000.000;13;13;29;14.000.000
47.557.740;16.351.898;2.969.852;1.630.058;3.994.634;61.526.693;56.550.000;65.383.333;60.400.000;;15.451.694;25.711.601;16.382.987;22.198.110;7.216.691;14.981.419;12.367.368;57.950.000;3.250.000;10.259.524;72.981.061;;2.500.000;;;7;10;0.000000;0;1.936.880;2.780.057;7;34.000.000;19;11.000.000;50;11;18;19.000.000
52.916.964;7.325.270;12.853.925;0.988467;5.270.091;49.237.736;46.300.000;54.283.333;47.850.000;;11.238.490;22.629.631;12.648.329;20.266.242;9.098.144;11.168.099;14.163.486;55.833.333;11.000.000;7.211.111;61.137.602;;9.250.000;;;7;10;0.542857;0;1.363.038;3.207.807;4;35.000.000;26;16.000.000;17;12;22;11.000.000
39.305.478;8.915.832;4.784.784;0.194444;1.603.521;56.088.243;39.902.381;54.935.714;93.878.571;38.450.000;9.582.855;23.773.581;19.969.046;14.243.855;7.709.281;6.534.574;13.603.239;50.850.000;3.083.333;7.853.968;59.408.934;;4.500.000;;22.766.667;12;10;0.750000;0;0.920635;3.311.223;4;27.000.000;31;17.000.000;19;7;18;14.000.000
32.797.138;4.942.138;7.157.582;0.485965;2.081.582;48.568.957;71.000.000;56.650.000;33.400.000;18.116.667;15.564.088;23.271.886;7.106.354;9.528.192;4.678.753;4.849.439;12.857.680;13.500.000;5.916.667;4.566.667;51.015.625;;3.666.667;;;4;10;0.000000;0;1.046.222;2.824.118;5;38.000.000;27;5.000.000;40;6;18;10.000.000
49.203.352;10.184.571;4.822.657;1.732.756;3.012.185;36.881.615;56.400.000;52.333.333;51.766.667;28.166.667;12.286.719;11.800.914;11.420.203;11.942.616;5.703.810;6.238.806;13.735.846;29.250.000;6.833.333;12.475.000;59.520.982;21.750.000;3.750.000;;;15;17;0.000000;0;1.550.433;3.065.366;6;34.000.000;14;21.000.000;21;10;25;14.000.000
27.878.859;8.647.709;3.615.032;0.356050;2.663.017;52.313.180;49.450.000;53.450.000;68.700.000;26.950.000;12.439.889;19.762.397;17.202.966;13.897.781;4.608.115;9.289.666;10.936.498;52.650.000;1.833.333;10.562.302;59.245.675;;0.500000;;;4;8;0.000000;0;0.726681;4.313.333;3;30.000.000;24;10.000.000;32;4;19;21.000.000
30.552.840;1.310.048;5.943.510;0.665405;2.198.089;31.431.163;46.633.333;43.683.333;27.116.667;19.766.667;8.784.628;14.518.028;6.338.799;8.712.012;4.594.813;4.117.199;13.946.721;5.883.333;5.633.333;4.273.016;35.719.129;;3.783.333;;;0;3;0.047619;0;0.283766;1.917.654;12;27.000.000;18;8.000.000;22;5;13;6.000.000
28.767.279;2.126.416;3.857.317;2.810.503;1.856.050;62.407.829;60.533.333;76.283.333;46.583.333;26.233.333;14.513.580;31.632.854;12.480.792;12.124.468;5.573.064;6.551.404;13.264.968;30.533.333;3.200.000;9.018.687;55.412.786;18.791.667;4.666.667;;;6;7;0.000000;0;1.453.571;3.419.245;8;31.000.000;24;9.000.000;25;4;16;6.000.000
20.548.531;3.476.455;2.047.506;0.340124;2.222.889;41.477.032;51.592.857;43.838.095;59.719.048;;11.906.627;12.721.276;13.688.762;10.972.767;4.040.084;6.932.683;10.992.929;49.883.333;3.916.667;11.576.190;49.466.914;17.900.000;2.566.667;;;5;1;0.018868;0;1.277.658;3.084.671;0;42.000.000;20;11.000.000;47;4;17;3.000.000
22.012.263;5.218.666;1.708.458;0.194444;3.485.547;58.486.663;31.491.667;66.175.000;66.825.000;19.416.667;9.090.862;31.122.533;16.603.205;9.241.028;2.841.282;6.399.746;8.716.060;24.950.000;8.866.667;9.203.968;44.807.532;;1.083.333;;;1;6;0.000000;0;1.013.220;5.304.452;7;45.000.000;19;4.000.000;27;5;17;4.000.000
64.960.946;13.590.943;9.636.519;4.333.333;3.781.832;54.630.646;51.959.524;53.592.857;68.828.571;34.566.667;12.536.880;20.014.968;17.767.651;17.932.522;7.421.104;10.511.418;17.024.429;30.750.000;2.000.000;8.416.667;65.354.131;;2.333.333;;;8;11;0.000000;0;0.711111;5.239.286;13;33.000.000;12;21.000.000;40;8;17;17.000.000
26.900.722;13.279.924;4.639.434;0.000000;3.231.264;36.370.909;70.983.333;43.950.000;31.950.000;20.583.333;14.973.784;9.790.360;8.130.383;13.288.732;3.265.635;10.023.097;16.828.471;18.750.000;12.666.667;7.309.524;60.268.633;;2.000.000;;;6;19;0.000000;0;2.742.313;3.478.976;5;45.000.000;12;20.000.000;24;7;16;25.000.000
36.432.510;16.894.333;5.085.852;0.058824;3.837.217;51.546.085;42.083.333;52.666.667;74.666.667;17.500.000;11.359.239;19.152.983;17.317.810;19.846.555;7.077.873;12.768.681;12.252.094;33.200.000;10.700.000;10.659.524;71.341.026;;3.783.333;;;10;21;1.438.095;0;0.494634;9.952.938;10;59.000.000;29;23.000.000;36;14;26;29.500.000
45.208.082;9.228.485;6.831.839;0.744048;4.061.255;53.975.830;53.316.667;56.950.000;53.325.000;34.075.000;13.873.410;21.794.682;13.268.486;14.839.957;6.317.107;8.522.850;13.930.125;33.583.333;7.666.667;12.816.667;67.184.517;;0.833333;;;18;22;0.219780;0;2.280.348;4.498.027;3;36.000.000;9;28.000.000;35;15;18;29.000.000
45.743.122;4.425.173;14.521.276;0.000000;7.090.529;51.476.967;32.417.857;44.677.381;62.310.714;36.284.524;10.501.857;21.282.134;16.539.326;13.212.518;6.310.253;6.902.265;14.685.583;49.995.238;3.792.857;3.783.333;48.742.969;;2.000.000;;;3;7;0.000000;0;1.194.589;2.990.432;16;30.000.000;10;6.000.000;21;10;16;9.000.000
54.383.805;2.058.333;5.587.370;0.027778;2.291.780;52.654.477;82.647.222;60.986.111;46.638.889;;19.506.193;19.266.576;11.996.712;14.517.668;7.303.064;7.214.605;12.040.563;15.952.381;4.750.000;19.783.333;64.201.225;;0.333333;;22.366.667;4;13;0.000000;1;2.306.600;5.794.443;7;45.000.000;17;11.000.000;32;8;16;11.000.000
33.818.064;7.881.177;2.385.518;0.530409;1.811.060;71.884.730;53.941.667;90.126.190;62.821.429;35.100.000;15.939.197;34.565.836;17.545.162;17.451.244;3.569.152;13.882.092;15.375.896;51.783.333;3.533.333;9.857.937;69.562.978;;2.750.000;;;4;9;0.000000;0;2.160.354;0.943768;7;27.000.000;19;17.000.000;22;12;25;16.000.000
54.283.608;12.199.062;5.341.760;0.991667;5.822.222;73.091.944;68.650.000;70.650.000;78.916.667;;22.159.036;25.878.178;21.163.586;20.660.012;8.033.223;12.626.789;12.268.019;38.083.333;11.750.000;11.083.333;95.397.731;;4.333.333;;;18;25;0.500000;0;1.030.177;4.133.917;12;52.000.000;7;28.000.000;37;11;18;40.000.000
43.660.438;14.291.944;3.843.694;0.146465;2.189.123;50.891.751;68.916.667;57.000.000;65.500.000;28.166.667;16.333.531;19.814.168;13.254.118;19.844.466;6.538.558;13.305.908;14.458.943;34.916.667;6.000.000;16.991.667;62.113.586;;1.000.000;;;6;6;0.000000;0;3.558.344;6.861.125;5;59.000.000;17;9.000.000;47;11;18;5.000.000
30.613.790;9.034.074;4.240.993;1.238.436;2.888.546;36.270.817;39.066.667;50.533.333;51.991.667;10.583.333;9.224.638;12.762.320;11.439.389;10.622.688;4.342.863;6.279.826;12.990.195;30.304.762;4.563.636;6.842.857;51.421.230;13.990.909;1.840.909;;;5;7;0.000000;0;1.238.622;3.595.946;10;29.000.000;21;17.000.000;34;8;15;11.000.000
36.199.260;7.006.283;5.232.025;1.841.928;4.068.017;57.566.235;76.461.111;54.111.111;63.627.778;28.183.333;18.979.872;16.069.388;19.641.090;13.097.336;6.808.402;6.288.934;11.617.878;55.050.000;10.250.000;7.084.524;65.282.385;;3.166.667;;;4;17;0.462500;0;1.532.113;4.131.005;4;31.000.000;14;16.000.000;54;13;21;17.000.000
21.936.069;1.683.118;4.089.923;0.675959;1.916.582;33.541.289;61.950.000;43.389.286;27.119.048;19.523.810;14.250.138;11.732.693;6.177.437;8.327.578;3.662.085;4.665.493;9.076.074;5.983.333;8.533.333;8.254.004;42.600.730;9.950.000;1.517.857;;;2;4;0.333333;0;0.541908;1.815.771;3;20.000.000;19;8.000.000;20;2;9;6.000.000
24.146.533;11.892.573;1.675.004;1.190.476;2.376.062;35.519.729;51.433.333;46.155.952;40.010.714;27.709.524;11.058.189;11.970.346;9.883.808;10.681.188;5.707.637;4.973.551;10.455.874;35.583.333;0.950000;16.526.190;48.737.737;;1.500.000;;;5;6;0.033333;0;1.351.696;3.631.930;6;22.000.000;13;11.000.000;29;5;11;12.000.000
22.566.699;5.745.130;2.966.709;0.000000;0.824963;33.299.136;58.509.524;42.310.714;46.785.714;27.069.048;11.646.243;10.434.617;10.290.905;6.042.924;2.408.776;3.634.147;9.918.042;21.247.619;4.316.667;4.174.206;49.256.487;;3.092.857;;;6;9;0.000000;0;2.205.826;2.360.762;5;33.000.000;22;7.000.000;21;3;11;8.000.000
31.838.760;1.939.382;4.442.531;0.672378;0.266667;34.803.354;53.450.000;57.866.667;35.950.000;28.016.667;11.905.661;14.706.079;7.310.608;10.714.050;3.838.348;6.875.702;10.560.431;17.383.333;4.166.667;8.171.429;45.146.505;;3.000.000;;;3;5;0.200000;0;0.698236;2.210.823;6;30.000.000;15;6.000.000;22;6;15;6.000.000
31.426.033;2.217.376;3.933.466;0.983333;1.159.329;34.359.650;53.571.429;50.357.143;45.120.238;18.333.333;11.897.309;11.259.135;9.233.331;8.136.950;4.074.167;4.062.783;11.383.594;19.952.381;4.666.667;12.109.524;52.797.995;;2.285.714;;25.846.825;2;12;0.000000;0;1.065.681;2.740.286;3;37.000.000;5;11.000.000;40;8;21;12.000.000
27.377.548;2.250.413;2.423.271;0.290000;2.404.346;38.336.601;50.640.476;42.217.460;42.973.016;16.942.857;13.053.206;12.321.107;10.016.753;10.682.194;4.547.693;6.134.501;10.181.479;20.061.386;2.853.846;20.888.889;51.500.330;;5.250.000;;;4;4;0.000000;0;0.744048;4.060.424;5;26.000.000;9;5.000.000;19;3;6;13.000.000
26.230.276;5.324.503;5.250.159;1.012.395;4.287.149;46.052.127;32.100.794;40.570.635;68.914.286;;7.811.278;15.755.426;17.750.615;13.747.533;3.480.830;10.266.703;10.661.622;38.483.333;5.108.333;7.427.381;56.208.977;;1.950.000;;;13;7;0.000000;1;0.629433;2.892.384;10;41.000.000;16;18.000.000;38;6;10;8.000.000
22.595.096;5.708.228;2.645.482;0.547327;1.579.947;34.452.331;30.874.242;39.321.970;49.552.597;18.518.398;7.756.685;12.757.361;11.139.631;8.332.277;3.864.920;4.467.358;9.071.837;18.003.968;3.166.667;7.713.564;41.013.312;;1.203.968;;;8;4;0.000000;0;0.080000;2.680.992;6;24.000.000;8;12.000.000;12;7;15;8.000.000
30.311.602;11.053.587;5.180.764;2.176.725;2.475.326;48.689.832;45.366.667;64.183.333;62.750.000;;11.460.174;18.138.244;16.076.076;13.994.458;5.370.561;8.623.897;15.690.950;54.666.667;5.833.333;8.251.190;71.053.679;;3.500.000;;;12;11;0.000000;0;1.960.949;5.157.251;4;31.000.000;17;19.000.000;35;12;22;14.000.000
51.480.408;5.938.668;5.482.805;1.278.968;9.535.556;61.163.668;68.690.909;60.293.939;70.925.758;32.789.394;20.859.166;16.757.608;20.027.192;15.109.577;5.359.651;9.749.926;12.639.763;31.476.190;6.000.000;14.264.524;82.679.965;32.030.952;5.000.000;;;7;10;0.000000;0;0.987921;3.924.498;9;45.000.000;12;19.000.000;46;7;25;18.000.000
15.701.206;0.116904;3.959.239;1.349.527;1.650.518;18.779.050;23.691.606;32.297.527;28.149.481;18.160.653;4.043.377;8.472.357;5.405.397;8.406.340;3.212.166;5.194.174;6.900.092;7.568.687;5.202.020;3.586.097;25.640.597;;2.602.778;23.308.838;21.204.509;3;2;0.000000;0;0.307766;0.810844;3;22.000.000;10;7.000.000;14;5;14;4.000.000
13.595.712;0.741786;2.470.088;0.131960;1.021.785;20.722.675;40.514.646;30.703.175;15.060.354;9.681.782;8.445.546;8.475.395;3.443.566;8.361.635;2.463.211;5.898.424;7.342.902;16.723.810;1.000.000;2.249.467;26.266.755;14.945.635;1.291.667;;;3;5;0.000000;0;0.071795;1.305.660;2;17.000.000;7;5.000.000;10;4;10;6.000.000
22.054.494;9.459.995;4.039.534;0.333333;1.808.665;34.621.509;48.853.175;52.795.238;44.892.857;19.792.063;10.412.331;13.509.052;10.172.987;11.438.338;4.706.222;6.732.116;9.358.152;59.839.286;3.158.333;7.547.619;45.258.355;13.639.683;3.033.333;;;4;6;0.700000;0;1.536.449;2.047.741;1;19.000.000;14;4.000.000;37;8;11;7.000.000
18.352.938;4.293.235;6.018.239;1.034.478;2.672.190;17.226.587;23.891.667;28.800.000;27.938.889;21.358.333;5.257.714;6.368.919;4.773.792;9.627.450;5.095.595;4.531.854;8.206.669;14.100.000;5.066.667;5.160.747;26.689.894;11.841.667;3.037.302;;;3;3;0.000000;0;0.266131;1.382.329;2;17.000.000;17;6.000.000;15;3;16;6.000.000
32.608.552;5.768.374;5.193.321;0.181201;1.379.979;29.182.167;42.836.508;43.451.587;44.481.746;28.450.794;8.814.978;9.124.707;9.408.843;13.446.736;5.758.978;7.687.758;12.524.343;15.644.048;2.700.000;6.489.322;40.907.924;10.227.381;1.351.190;;;10;3;0.000000;0;0.418762;2.611.468;8;45.000.000;16;14.000.000;41;4;18;10.000.000
12.324.531;0.322768;2.803.869;0.408000;1.163.163;16.514.063;33.608.730;15.310.317;28.435.714;;6.251.715;3.451.013;5.945.027;4.632.506;2.434.299;2.198.207;6.542.705;24.154.690;0.733333;2.959.499;27.408.389;;4.654.004;;;3;4;0.035714;0;0.187923;0.886461;2;8.000.000;19;2.000.000;17;1;9;5.000.000
16.234.393;0.797756;3.467.326;0.919065;1.059.879;22.913.317;52.275.613;18.103.752;32.867.244;20.549.351;10.381.018;3.704.041;6.783.423;8.105.872;2.949.973;5.155.899;8.316.453;11.027.778;2.150.000;4.926.379;31.056.964;13.123.413;0.500000;;17.338.492;0;5;0.616667;0;0.076923;1.195.671;2;15.000.000;14;1.000.000;31;2;10;6.000.000
25.920.590;10.562.489;3.641.620;0.590909;3.612.791;39.101.447;38.132.143;29.541.667;69.207.143;18.533.333;11.702.294;7.314.071;17.243.411;12.575.735;3.933.792;8.641.943;10.122.664;35.132.143;3.866.667;9.950.000;52.236.129;10.666.667;5.200.000;;19.776.190;3;9;0.083333;0;1.758.498;4.671.186;5;34.000.000;13;5.000.000;42;7;14;10.000.000
21.908.973;1.751.407;6.416.290;0.363528;2.387.841;30.136.852;62.075.794;25.025.794;37.568.254;19.156.349;13.762.559;6.840.087;8.574.224;10.479.274;3.945.771;6.533.503;10.169.243;40.444.841;5.967.857;4.559.722;38.767.509;;4.333.333;;;4;4;0.000000;0;0.540671;3.389.600;4;39.000.000;15;8.000.000;29;4;12;4.000.000
31.425.255;7.745.642;7.396.309;0.446429;2.456.621;49.609.617;77.658.333;34.050.000;63.916.667;22.483.333;19.102.621;8.696.005;17.246.120;12.901.818;3.938.295;8.963.523;12.460.169;62.041.667;1.250.000;7.466.667;71.033.109;;4.666.667;;;10;8;0.000000;0;1.768.585;3.788.875;3;36.000.000;11;16.000.000;49;12;28;21.000.000
35.349.059;14.614.311;3.244.224;0.166667;2.491.404;38.662.029;52.195.238;38.209.524;70.095.238;38.078.571;11.243.693;8.605.571;16.137.151;15.520.913;6.514.799;9.006.114;17.086.225;56.681.746;2.666.667;12.365.079;56.219.016;;1.194.444;;;12;8;0.000000;0;2.438.506;5.101.784;13;34.000.000;11;21.000.000;52;3;16;18.000.000
39.535.384;11.104.822;5.029.873;0.500000;1.802.093;40.819.901;57.451.587;28.817.460;60.706.349;;13.506.083;5.556.935;15.365.072;13.262.463;5.852.597;7.409.865;13.386.366;83.319.048;2.866.667;4.310.714;55.452.039;;2.533.333;;;8;7;0.000000;0;0.778786;3.891.304;5;24.000.000;17;15.000.000;67;6;12;11.000.000
35.681.928;11.185.216;4.777.277;0.254312;1.814.540;38.138.594;39.042.857;29.159.524;75.711.905;29.992.857;8.904.673;7.404.531;18.373.503;15.616.665;7.373.047;8.243.619;10.420.602;30.400.000;0.166667;6.450.000;50.171.218;10.583.333;7.000.000;;;2;2;0.038462;0;1.298.236;4.053.714;5;35.000.000;18;6.000.000;63;3;9;14.000.000
47.478.086;12.502.338;1.970.245;3.994.809;2.918.277;36.932.513;34.605.556;38.867.460;60.371.429;32.150.000;8.259.374;10.386.244;14.591.655;17.228.526;6.394.347;10.834.178;8.774.902;26.866.667;1.230.159;5.726.623;58.175.723;10.033.333;3.400.000;;;6;9;0.033333;1;0.627778;2.771.181;4;25.000.000;16;9.000.000;33;5;12;26.000.000
