nn_W;np_W;nominal_W;neoclass_W;poss_pronoun_W;pronoun_all_W;p1_perspron_P;p2_perspron_P;p3_perspron_P;it_P;pospers1_W;pospers2_W;pospers3_W;adj_W;atadj_W;predadj_W;prep_W;past_tense_F;will_F;modal_verb_V;verb_W;infinitive_F;passive_F;coordination_F;subordination_F;interrogative_S;imperative_S;title_W;salutation_S;place_adv_W;time_adv_W;prep_initial_S;adv_initial_S;text_initial_S;wh_initial_S;disc_initial_S;nonfin_initial_S;subord_initial_S;verb_initial_S
30.032.228;0.160714;4.813.821;0.139650;0.523492;2.624.169;0.000000;5.000.000;23.500.000;17.500.000;0.000000;0.364747;1.918.970;10.735.554;7.490.226;3.245.328;11.809.388;1.083.333;9.000.000;7.004.762;24.673.985;28.750.000;16.750.000;51.483.333;;0;9;0.000000;0;0.569385;0.631515;8;13.000.000;2;1.000.000;0;9;19;8.000.000
31.470.262;9.619.810;7.587.449;2.790.205;1.540.771;5.705.998;2.000.000;8.500.000;22.816.667;9.283.333;0.240278;0.930414;3.931.628;9.143.922;8.470.219;0.673702;13.821.720;27.166.667;7.166.667;4.200.000;21.306.152;22.916.667;18.125.000;;15.875.000;0;1;0.488235;0;0.266158;1.437.311;18;10.000.000;1;1.000.000;0;3;8;1.000.000
41.891.946;14.276.691;8.247.650;2.453.099;2.194.479;5.515.303;0.000000;18.547.619;9.459.524;2.250.000;0.000000;3.385.367;1.814.918;15.791.409;10.371.271;5.420.139;13.711.891;1.166.667;5.916.667;9.133.333;23.486.406;17.650.000;20.083.333;;9.883.333;0;8;0.000000;0;0.203704;0.185238;10;7.000.000;1;1.000.000;0;8;14;8.000.000
18.808.161;2.367.890;4.916.975;0.681558;1.685.995;4.803.839;3.559.524;0.000000;30.569.048;10.392.857;0.439523;0.000000;4.132.760;6.935.900;4.825.002;2.110.898;9.868.970;4.116.667;1.125.000;0.826681;13.123.954;8.467.857;12.376.190;;9.736.905;6;3;0.000000;0;0.218712;0.121385;11;11.000.000;2;3.000.000;0;2;3;3.000.000
32.064.028;2.936.642;3.609.916;0.897187;3.723.138;18.521.505;15.738.095;12.761.905;45.542.857;7.909.524;3.448.539;3.093.185;9.846.493;6.975.821;4.525.247;2.450.574;11.843.879;39.841.667;4.166.667;9.569.048;29.232.718;;5.583.333;;22.516.667;5;16;0.058824;0;0.179616;0.880674;5;13.000.000;2;2.000.000;0;5;12;16.000.000
22.989.473;2.607.372;7.384.912;1.845.834;0.644356;3.649.944;1.500.000;1.000.000;25.666.667;19.333.333;0.102500;0.058824;3.015.525;11.872.659;9.399.291;2.473.369;10.627.498;10.933.333;1.333.333;6.244.048;18.887.874;25.266.667;11.566.667;40.833.333;18.133.333;5;3;0.114379;0;0.488703;1.091.741;9;9.000.000;10;4.000.000;0;5;11;3.000.000
26.718.987;1.765.220;6.564.083;0.821452;1.583.457;5.974.737;0.500000;0.000000;38.516.667;20.116.667;0.157576;0.000000;4.929.474;10.088.190;6.955.297;3.132.893;11.422.182;13.116.667;4.416.667;8.357.973;22.580.007;;7.833.333;38.316.667;26.466.667;13;0;0.190916;0;0.270224;0.705886;8;12.000.000;16;5.000.000;0;6;10;4.000.000
26.044.631;2.145.592;7.421.680;0.634187;1.063.361;4.679.818;0.000000;4.500.000;30.000.000;23.666.667;0.000000;1.108.730;3.165.425;10.143.880;8.268.468;1.875.413;11.831.946;11.866.667;6.833.333;8.460.317;20.247.168;;12.833.333;;20.050.000;4;3;0.000000;0;0.077713;0.557753;16;8.000.000;3;1.000.000;0;3;11;3.000.000
17.192.909;2.663.863;3.115.554;0.873120;1.003.479;3.378.030;0.000000;0.000000;21.166.667;9.583.333;0.000000;0.000000;2.678.600;7.657.817;6.374.188;1.283.630;7.801.518;18.016.667;5.016.667;3.894.877;14.526.679;;8.350.000;27.683.333;21.133.333;1;0;0.876873;0;0.336482;0.526267;7;10.000.000;3;0.000000;0;4;11;0.000000
21.916.305;2.248.039;5.972.482;0.471341;0.906926;4.277.759;0.000000;2.000.000;28.714.286;17.559.524;0.000000;0.658333;3.022.824;7.448.878;5.302.699;2.146.179;10.479.825;14.975.000;6.600.000;6.131.818;16.663.080;14.233.333;4.550.000;;22.675.000;1;1;0.246328;0;0.201578;0.748233;14;11.000.000;9;2.000.000;0;1;9;1.000.000
