group,start,end
s1a,2,115
s1b,116,207
s2a,208,313
s2b,314,373
w1a,374,445
w1b,446,748
w2a,749,792
w2b,793,864
w2c,865,943
w2d,944,988
w2e,989,1012
w2f,1013,1036
