group,start,end
s1a,2,113
s1b,114,197
s2a,198,271
s2b,272,335
w1a,336,410
w1b,411,451
w2a,452,493
w2b,494,541
w2c,542,637
w2d,638,671
w2e,672,694
w2f,695,715
