group,start,end
s1a,2,139
s1b,140,231
s2a,232,367
s2b,368,447
w1a,448,492
w1b,493,754
w2a,755,794
w2b,795,836
w2c,837,919
w2d,920,940
w2e,941,980
w2f,981,1000
