s1a,2,118
s1b,119,211
s2a,212,318
s2b,319,429
w1a,430,453
w1b,454,801
w2a,802,854
w2b,855,964
w2c,965,1091
w2d,1092,1142
w2e,1143,1206
w2f,1207,1255
